,0
RobertaFlack,"Roberta Cleopatra Flack (born February 10, 1937) is an American singer. She is known for her No. 1 singles ""The First Time Ever I Saw Your Face"", ""Killing Me Softly with His Song"", ""Feel Like Makin' Love""; and ""Where Is the Love"" and ""The Closer I Get to You"", two of her many duets with Donny Hathaway.
Flack is the only solo artist to win the Grammy Award for Record of the Year on two consecutive "
RobertJohn,"Robert W. Irwin (born September 12, 1928) is an American installation artist who has explored perception and the conditional in art, often through site-specific, architectural interventions that alter the physical, sensory and temporal experience of space. 
He began his career as a painter in the 1950s, but in the 1960s shifted to installation work, becoming a pioneer whose work helped to define t"
RobertMiles,"Roberto Concina (3 November 1969 – 9 May 2017), known professionally as Robert Miles, was a Swiss-born Italian record producer, composer, musician and DJ. His 1995 composition ""Children"" sold more than 5 million copies and topped the charts in many countries.


== Early life ==
Robert Miles was born in Fleurier, Switzerland.Miles became proficient at playing the piano during his youth in Friuli, I"
RobertPalmer,"Robert Allen Palmer (19 January 1949 – 26 September 2003) was an English singer-songwriter, musician and record producer. He was known for his powerful, distinctive, gritty and soulful voice, sartorial elegance and for combining soul, jazz, rock, pop, reggae and blues. 
Palmer's involvement in the music industry began in the 1960s, covered four decades and included a spell with the band Vinegar Jo"
Rockwell,"Kennedy William Gordy (born March 15, 1964), better known by his stage name Rockwell, is an American former musician and singer-songwriter who was signed to the Motown label. He is best known for his 1984 hit single ""Somebody's Watching Me"".


== Early life ==
Kennedy William Gordy aka Rockwell is the son of Motown founder and CEO Berry Gordy and Margaret Norton. His father named him Kennedy Willi"
RodStewart,"Sir Roderick David Stewart  (born 10 January 1945) is a British rock singer and songwriter. Born and raised in London, he is of Scottish and English ancestry. Stewart is one of the best-selling music artists of all time, having sold over 120 million records worldwide. He has had  nine number-one albums in the UK Albums Chart and his tally of 62 UK hit singles includes 31 that reached the top ten, "
RollingStones,"The Rolling Stone charts tabulate the relative weekly popularity of songs and albums in the United States. Chart data is powered by analytics firm Alpha Data (formerly BuzzAngle Music) and results are published on the website of pop culture magazine  Rolling Stone, both of which are properties of the United States-based Penske Media Corporation.
The Rolling Stone charts compete with the Billboard "
RooftopSingers,"The Rooftop Singers were an American progressive folk-singing trio in the early 1960s, best known for the hit ""Walk Right In"". The group was composed of Erik Darling and Bill Svanoe (vocals, guitar) with former jazz singer Lynne Taylor (vocals).Darling put the group together in June 1962, specifically to record an updated and uptempo version of a 1929 Gus Cannon folk blues song, ""Walk Right In"". T"
RossDiana,"Diana Ross (born March 26, 1944) is an American singer, actress, and record producer. Born and raised in Detroit, Michigan, Ross rose to fame as the lead singer of the vocal group The Supremes, who during the 1960s became Motown's most successful act, and are the best-charting female group in US history, as well as one of the world's best-selling girl groups of all time. The group released a recor"
Roxette,"Roxette were a Swedish pop rock  duo, consisting of Marie Fredriksson (vocals and keyboards) and Per Gessle (vocals and guitar). Formed in 1986, the duo became an international act in the late 1980s, when they released their breakthrough second album Look Sharp! Their third album Joyride, which was released in 1991, became just as successful as its predecessor. Roxette went on to achieve nineteen "
RoyOrbison,"Roy Orbison (April 23, 1936 – December 6, 1988) was an American singer-songwriter who found the most success in the early rock and roll era from 1956 to 1964. He later enjoyed a resurgence in the late 1980s with chart success as a member of the Traveling Wilburys and with his Mystery Girl album which included the hit single ""You Got It"". At the height of his popularity, 22 of Orbison's songs place"
RubyAndTheRomantics,"Ruby & the Romantics were an Akron, Ohio-based American R&B group in the 1960s. The group had several pop and R&B hit records, topping the US Billboard Hot 100 chart in 1963 with their first recording, ""Our Day Will Come"".  The song, written by Mort Garson and Bob Hilliard, was a worldwide hit, reaching No. 1 and selling over one million copies in the US, also topped the Billboard R&B chart at # 1"
RupertHolmes,"David Goldstein (born February 24, 1947), better known as Rupert Holmes, is a British-American composer, singer-songwriter, musician, dramatist and author. He is widely known for the hit singles ""Escape (The Piña Colada Song)"" (1979) and ""Him"" (1980). He is also known for his musicals Drood, which earned him two Tony Awards, and Curtains, and for his television series Remember WENN.


== Life and "
Rush,"""Rush Rush"" is a song by American recording artist Paula Abdul, taken from her second studio album, Spellbound (1991). It was released on May 2, 1991, by Virgin Records as the lead single of the album. Written by Peter Lord, and produced by Peter Lord and V. Jeffrey Smith (both members of The Family Stand), the song achieved major success in the U.S. where it topped the Billboard Hot 100.


== Bac"
Sade,"Sade ( shah-DAY) are an English band, formed in London in 1982 and named after their lead singer, Sade Adu. Three of their members were originally from Hull in the East Riding of Yorkshire. Their music features elements of soul, quiet storm, smooth jazz and sophisti-pop.
The band's debut studio album, Diamond Life (1984), reached number two on the UK Album Chart, selling over 1.2 million copies an"
SamAndDave,"Sam & Dave were an American soul and R&B duo who performed together from 1961 until 1981. The tenor (higher) voice was Sam Moore (born 1935) and the baritone/tenor (lower) voice was Dave Prater (1937–1988).
Sam & Dave are inductees in the Rock and Roll Hall of Fame, the Vocal Group Hall of Fame, the Memphis Music Hall of Fame, and the Rhythm & Blues Music Hall of Fame. They are Grammy Award and mu"
SammyHagar,"Sammy Hagar is a rock vocalist and guitarist. Hagar is known as a solo artist and a former member of several notable bands.
Hagar first came to prominence singing on the first two Montrose albums - Montrose (1973) and Paper Money (1974). Neither charted highly, but the band's debut proved to be very influential and would ultimately achieve platinum status in the United States, representing one mil"
SamTheSham,"Domingo ""Sam"" Samudio (born February 28, 1937, in Dallas, Texas, United States), better known by his stage name Sam the Sham, is a retired  American rock and roll singer. Sam the Sham was known for his camp robe and turban and hauling his equipment in a 1952 Packard hearse with maroon velvet curtains. As the front man for the Pharaohs, he sang on several Top 40 hits in the mid-1960s, notably the B"
SantaEsmerelda,"Emma Rose Roberts (born February 10, 1991) is an American actress and singer. After making her film debut as Kristina Jung in the crime film Blow (2001), Roberts gained recognition for her lead role as Addie Singer on the Nickelodeon television series Unfabulous (2004–2007). She released her debut studio album Unfabulous and More in 2005. Roberts then appeared in numerous films, including Aquamari"
Scorpions,"""Wind of Change"" is a power ballad by the West German rock band Scorpions, recorded for their eleventh studio album, Crazy World (1990). The song was composed and written by the band's lead singer Klaus Meine and produced by Keith Olsen and the band. The lyrics were composed by Meine following the band's visit to the USSR at the height of perestroika, when the enmity between the communist and capi"
ScottMcKenzie,"Scott McKenzie (born Philip Wallach Blondheim III; January 10, 1939 – August 18, 2012) was an American singer and songwriter.  He was best known for his 1967 hit single and generational anthem, ""San Francisco (Be Sure to Wear Flowers in Your Hair)"".


== Early life ==
Philip Wallach Blondheim III was born in Jacksonville, Florida, on January 10, 1939, as the son of Philip Wallach Blondheim, Jr. an"
SealsAndCrofts,"Seals and Crofts were an American soft rock duo made up of James Eugene ""Jim"" Seals (born October 17, 1941) and Darrell George ""Dash"" Crofts (born August 14, 1940). They are best known for their Hot 100 No. 6 hits ""Summer Breeze"" (1972), ""Diamond Girl"" (1973), and ""Get Closer"" (1976). Both members have long been public advocates of the Baháʼí Faith. Though the duo disbanded in 1980, they reunited "
Searchers,"A discography of The Searchers.


== Albums ==
Studio albums

1963 – Meet The Searchers (UK #2)
1963 – Sugar and Spice (UK #5)
1964 – It's The Searchers (UK #4)
1965 – Sounds Like Searchers (UK #8)
1965 – Take Me for What I'm Worth
1972 – Second Take (released as Needles and Pins in U.S. -- consists of re-recordings of earlier hits)
1979 – The Searchers
1981 – Play For Today (released as Love's Me"
Seekers,"The Seekers are an Australian folk-influenced pop quartet, originally formed in Melbourne in 1962.  They were the first Australian pop music group to achieve major chart and sales success in the United Kingdom and the United States.  They were popular during the 1960s with their best-known configuration as: Judith Durham on vocals, piano, and tambourine; Athol Guy on double bass and vocals; Keith "
Shadows,"The Shadows (originally known as the Drifters) were an English instrumental rock group. They were Cliff Richard's backing band from 1958 to 1968 and on numerous reunion tours. The Shadows have had 69 UK chart singles from the 1950s to the 2000s, 35 credited to the Shadows and 34 to Cliff Richard and the Shadows. The group, who were in the forefront of the UK beat-group boom, were the first backing"
ShebWooley,"Shelby Fredrick ""Sheb"" Wooley (April 10, 1921 – September 16, 2003) was an American actor and singer, best known for his 1958 novelty song ""The Purple People Eater."" He played Ben Miller, brother of Frank Miller, in the film High Noon; played Travis Cobb in The Outlaw Josey Wales; and also had a co-starring role as scout Pete Nolan in the television series Rawhide.  Additionally, Wooley recorded a"
SheenaEaston,"Sheena Shirley Easton (née Orr; born 27 April 1959) is a Scottish actress, singer and songwriter. She is a dual British-American citizen. Easton came into the public eye in an episode of the first British musical reality television programme The Big Time: Pop Singer, which recorded her attempts to gain a record contract and her eventual signing with EMI Records.
Easton's first two singles, ""Modern"
ShelleyFabares,"Michele Ann Marie ""Shelley"" Fabares (; born January 19, 1944) is an American actress and singer. She is best known for her television roles as Mary Stone on the sitcom The Donna Reed Show (1958–1963) and as Christine Armstrong on the sitcom Coach (1989–97), the latter of which earned her two Primetime Emmy Awards nominations.
In 1962, her recording of ""Johnny Angel"" reached number one on the Billb"
ShockingBlue,"""Venus"" is a song by Dutch rock band Shocking Blue, initially released as a single in the Netherlands in the summer of 1969. Written by Robbie van Leeuwen, the song topped the charts in nine countries. In 1981, it was used to open the ""Stars on 45"" medley. In 1986, English girl group Bananarama covered ""Venus"" for their third studio album, True Confessions, reaching number one in six countries. Th"
SilverConvention,"Silver Convention were a West German Euro disco recording act of the 1970s. The group was originally named Silver Bird Convention or Silver Bird.


== Career ==
The group was initiated in Munich by producers and songwriters Sylvester Levay and Michael Kunze. The group was named after Levay, ""Silver"" being Levay's nickname. Kunze had in the late 1960s been a pop lyricist who wrote protest songs in "
SimonAndGarfunkel,"Simon & Garfunkel were an American folk-rock duo consisting of singer-songwriter Paul Simon and singer Art Garfunkel. One of the best-selling music groups of the 1960s, their biggest hits—including ""The Sound of Silence"" (1965), ""Mrs. Robinson"" (1968), ""The Boxer"" (1969), and ""Bridge over Troubled Water"" (1970)—reached number one on singles charts worldwide.
Simon and Garfunkel met in elementary s"
SimpleMinds,"Simple Minds are a Scottish rock band formed in Glasgow in 1977. Simple Minds have released a string of hit singles, becoming best known internationally for their 1985 hit ""Don't You (Forget About Me)"", from the soundtrack of the film The Breakfast Club. Their other prominent hit singles include ""Alive and Kicking"" and ""Belfast Child"" (UK No. 1). They have achieved five UK Albums chart number one "
SimplyRed,"Simply Red is a British soul and pop band which formed in Manchester in 1985. The lead vocalist of the band is singer and songwriter Mick Hucknall, who, by the time the band initially disbanded in 2010, was the only original member left. Since the release of their debut studio album Picture Book (1985), they have had ten songs reach top 10 in the UK Singles Chart, including ""Holding Back the Years"
SineadOConnor,"Sinéad Marie Bernadette O'Connor ( shin-AYD; born 8 December 1966) is an Irish singer-songwriter who rose to fame in the late 1980s with her debut album The Lion and the Cobra. O'Connor achieved worldwide success in 1990 with a new arrangement of Prince's song ""Nothing Compares 2 U.""
Since then, while maintaining her singing career, she has occasionally encountered controversy, partly due to her s"
SisterSledge,"Sister Sledge is an American musical vocal group from Philadelphia, Pennsylvania. Formed in 1971, the group consisted of sisters Debbie, Joni, Kim, and Kathy Sledge. The siblings achieved international success at the height of the disco era. In 1979, they released their breakthrough album We Are Family, which peaked at number three on the Billboard 200 and included the 1979 US top-10 singles ""He's"
Skylark,"Skylarking is the ninth studio album by the English rock band XTC, released 27 October 1986 on Virgin Records. Produced by American musician Todd Rundgren, it is a loose concept album about a nonspecific cycle, such as a day, a year, the seasons, or life. The title was chosen as a double entendre, referring to a type of bird (skylark), as well as the Royal Navy term ""skylarking"", which means ""fool"
SmallFaces,"Small Faces were an English rock band from London, founded in 1965. The group originally consisted of Steve Marriott, Ronnie Lane, Kenney Jones, and Jimmy Winston, with Ian McLagan replacing Winston as the band's keyboardist in 1966. The band was one of the most acclaimed and influential mod groups of the 1960s, recording hit songs such as ""Itchycoo Park"", ""Lazy Sunday"", ""All or Nothing"", and ""Tin"
SmokeyRobinson,"William ""Smokey"" Robinson Jr. (born February 19, 1940) is an American singer, songwriter, record producer, and former record executive. Robinson was the founder and frontman of the Motown vocal group the Miracles, for which he was also chief songwriter and producer. Robinson led the group from its 1955 origins as ""the Five Chimes"" until 1972, when he announced a retirement from the group to focus "
Smokie,"Smokie (originally spelt Smokey) are an English rock band from Bradford, Yorkshire. The band found success at home and abroad after teaming up with Mike Chapman and Nicky Chinn. They have had a number of line-up changes and were still actively touring in 2018. Their most popular hit single, ""Living Next Door to Alice"", peaked at No. 3 on the UK Singles Chart and, in March 1977, reached No. 25 on t"
Snap,"Snap-on Incorporated is an American designer, manufacturer and marketer of high-end tools and equipment for professional use in the transportation industry including the automotive, heavy duty, equipment, marine, aviation, and railroad industries. Snap-on also distributes lower-end tools under the brand name Blue-Point. Their primary competitors include Matco, Mac Tools and Cornwell Tools.


== Cu"
SonnyAndCher,"Sonny & Cher were an American rock duo of entertainers made up of husband-and-wife Sonny Bono and Cher in the 1960s and 1970s. The couple started their career in the mid-1960s as R&B backing singers for record producer Phil Spector.
The pair first achieved fame with two hit songs in 1965, ""Baby Don't Go"" and ""I Got You Babe"". Signing with Atco/Atlantic Records, they released three studio albums in"
SpandauBallet,"Spandau Ballet ( SPAN-dow BAL-ay) were an English New Romantic band formed in Islington, London, in 1979. Inspired by the capital's post-punk underground dance scene, they emerged at the start of the 1980s as the house band for the Blitz Kids, playing ""White European Dance Music"" as ""The Applause"" for this new club culture's audience. They became one of the most successful groups of the New Romant"
SpankyAndOurGang,"Spanky and Our Gang was an American 1960s sunshine pop band led by Elaine ""Spanky"" McFarlane. The band derives its name from Hal Roach's Our Gang comedies of the 1930s (known to modern audiences as The Little Rascals), because of the similarity of her surname with that of George McFarland (Spanky). The group was known for its vocal harmonies.


== History and work ==

The group's  first album was "
SpencerDavisGroup,"The Spencer Davis Group are a British band formed in Birmingham in 1963, by Spencer Davis (guitar) with Steve Winwood (keyboards, guitar) and his brother, Muff Winwood (bass guitar) and Pete York (drums). Their best known songs include the UK number ones ""Somebody Help Me"" and ""Keep on Running"" (both written by reggae musician Jackie Edwards), ""I'm a Man"" and ""Gimme Some Lovin'"", which reached #2 "
Spinners,"The Spinners are an American rhythm and blues vocal group that formed in Ferndale, Michigan, on September 9th 1954. They enjoyed a string of hit singles and albums during the 1960s and 1970s, particularly with producer Thom Bell. The group continues to tour, with Henry Fambrough as the only original member.
The group is also listed as the Detroit Spinners and the Motown Spinners, due to their 1960"
SpiralStaircase,"A stairway, staircase, stairwell, flight of stairs, or simply stairs, is a construction designed to bridge a large vertical distance by dividing it into smaller vertical distances, called steps. Stairs may be straight, round, or may consist of two or more straight pieces connected at angles.
Special types of stairs include escalators and ladders. Some alternatives to stairs are elevators (also cal"
Spirit,"Spirit was an American rock band founded in 1967 and based in Los Angeles, California. Their most commercially successful single in the United States was ""I Got a Line on You"". They were also known for their albums, including their self-titled debut album, The Family That Plays Together, Clear, and Twelve Dreams of Dr. Sardonicus.


== Original lineup ==
The original lineup of the group evolved fr"
Squeeze,"Squeeze are a British rock band active from 1974 to 1982, from 1985 to 1999, and since 2007 to date. Founded by Glenn Tilbrook (vocals), Chris Difford (guitar), Jools Holland (keyboards) and Paul Gunn (drums), the group have released 15 studio albums, 14 compilation albums, 4 live albums, 1 extended play and 48 singles. All Squeeze's hits are written by Glenn Tilbrook and Chris Difford.


== Album"
Stampeders,"The Stampeders are a Canadian rock trio, consisting of Rich Dodson (guitar, vocals), Ronnie King (bass, vocals), and Kim Berly (drums, vocals).


== History ==
The band formed in Calgary, Alberta in 1964 as The Rebounds.
The Rebounds had five members: Rich Dodson, Len Roemer, Brendan Lyttle, Kim Berly, and Race Holiday. They renamed themselves The Stampeders in 1965 and Len Roemer was replaced wit"
Standells,"The Standells are an American garage rock band from Los Angeles, California, formed in the 1960s, who have been referred to as a ""punk band of the 1960s"", and said to have inspired such groups as the Sex Pistols and Ramones. They are best known for their 1966 cover of Ed Cobb’s hit ""Dirty Water"", now the anthem of several Boston sports teams and is played following every Boston Red Sox and Boston "
StarlandVocalBand,"Starland Vocal Band was an American pop band, known for ""Afternoon Delight"", one of the biggest-selling singles of 1976.


== Career ==
The group began as Fat City, a husband/wife duo of Bill Danoff and Taffy Nivert.Danoff and Nivert co-wrote the song ""I Guess He'd Rather Be in Colorado"" and then, with John Denver, ""Take Me Home, Country Roads"" which became a hit single in 1971 and became an offic"
Starship,"Starship Entertainment (Korean: 스타쉽 엔터테인먼트) is a South Korean entertainment company established in 2008 and a subsidiary of Kakao M under its Music Content Company division.
The label is home to K-Pop artists such as Monsta X, K.Will, Soyou, OG School Project, Jooyoung, Cravity, Wonho, Yoo Seung-woo, Brother Su, Cosmic Girls, #Gun, Mind U, Duetto, Jeong Se-woon, and formerly to Sistar, Boyfriend, "
Steam,"Steam is a video game digital distribution service by Valve. It was launched as a standalone software client in September 2003 as a way for Valve to provide automatic updates for their games, and expanded to include games from third-party publishers. Steam has also expanded into an online web-based and mobile digital storefront. Steam offers digital rights management (DRM), server hosting, video s"
StephanieMills,"Stephanie Dorthea Mills (born March 22, 1957) is an American singer, songwriter and actress. Mills rose to stardom as ""Dorothy"" in the original Broadway run of the musical The Wiz from 1975 to 1977. The song ""Home"" from the show later became a Number 1 U.S. R&B hit for Mills and her signature song. During the 1980s, Mills scored five Number 1 R&B hits, including ""Home"", ""I Have Learned to Respect "
StephenBishop,"Earl Stephen Bishop (born November 14, 1951) is an American singer-songwriter, actor, and guitarist. His biggest hits include ""On and On"", ""It Might Be You"" and ""Save It for a Rainy Day"". He has appeared in and contributed musically to many motion pictures, including National Lampoon's Animal House.


== Life and career ==


=== Beginnings ===
Bishop was born and raised in San Diego, California, a"
Steppenwolf,"The discography of Steppenwolf, an American Hard rock band, consists of Thirteen studio albums, Nine compilation albums, Twenty-one singles, Three music videos. The band was formed in 1967 after some members of The Sparrows split. Group members included John Kay, Michael Monarch, Goldy McJohn, Rushton Moreve and Jerry Edmonton. Their first album, Steppenwolf, was released in 1968, which sold well "
StevePerry,"Stephen Ray Perry (born January 22, 1949) is an American singer and songwriter. He is best known as the lead singer of the rock band Journey during their most commercially successful periods from 1977 to 1987, and again from 1995 to 1998. Perry also had a successful solo career between the mid-1980s and mid-1990s, made sporadic appearances in the 2000s, and returned to music full-time in 2018.
Per"
SteveWinwood,"Stephen Lawrence Winwood (born 12 May 1948) is an English singer, songwriter and musician whose genres include progressive rock, blue-eyed soul, rhythm and blues, blues rock, pop rock, and jazz. Though primarily a vocalist and keyboard player, Winwood also plays a wide variety of other instruments; on several of his solo albums he has played all instrumentation, including drums, mandolin, guitars,"
StevieNicks,"Stephanie Lynn Nicks (born May 26, 1948) is an American singer and songwriter. Nicks is a songwriter and vocalist with Fleetwood Mac, and also performs solo. She is known for her distinctive voice, mystical stage persona and poetic, symbolic lyrics. Her work both as a member of Fleetwood Mac and as a solo artist has produced over forty top 50 hits and sold over 120 million records, making them one"
StevieWonder,"Stevland Hardaway Morris (né Judkins; born May 13, 1950), known professionally as Stevie Wonder, is an American singer, songwriter, musician and record producer. A prominent figure in popular music during the second-half of the 20th century, Wonder is one of the most successful songwriters and musicians. A virtual one-man band, his use of synthesizers and further electronic musical instruments dur"
Sting,"Gordon Matthew Thomas Sumner  (born 2 October 1951), known as Sting, is an English musician and actor. He was the principal songwriter, lead singer, and bassist for the new wave rock band the Police from 1977 to 1984, and launched a solo career in 1985. He has included elements of rock, jazz, reggae, classical, new-age and worldbeat in his music.As a solo musician and a member of The Police, Sting"
StiveMiller,"Vietnam (Vietnamese: Việt Nam, [vîət nāːm] (listen)), officially the Socialist Republic of Vietnam (Vietnamese: Cộng hòa Xã hội chủ nghĩa Việt Nam), is a country in Southeast Asia and the easternmost country on the Indochinese Peninsula. With an estimated 96.2 million inhabitants as of 2019, it is the 15th most populous country in the world. Vietnam shares its land borders with China to the north,"
Stories,"Story artist is a credit given to additional screenwriters on animated films who do not share in the screenplay or story credit, as can be seen on Pixar and Disney animated films."
StrawberryAlarmClock,"Strawberry Alarm Clock is a psychedelic rock band formed in 1967 with origins in Glendale, California, a city near Los Angeles. They are best known for their 1967 hit single ""Incense and Peppermints"". Strawberry Alarm Clock, who have been also categorized as acid rock, psychedelic pop, and sunshine pop, charted five songs, including two Top 40 hits.


== Career ==


=== 1966–1967: Formation and ea"
Stylistics,"The Stylistics are an American, Philadelphia soul group that achieved their greatest chart success in the 1970s. They formed in 1968, with a lineup of singers Russell Thompkins Jr., Herb Murrell, Airrion Love, James Smith, and James Dunn. All of their US hits were ballads characterized by the falsetto of Russell Thompkins Jr. and the production of Thom Bell. During the early 1970s, the group had t"
Styx,"Styx () is an American rock band from Chicago that formed in 1972 and became famous for its albums released in the late 1970s and early 1980s. They are best known for melding hard rock guitar balanced with acoustic guitar, synthesizers mixed with acoustic piano, upbeat tracks with power ballads, and incorporating elements of international musical theatre. The band established itself with a progres"
Surfaris,"The Surfaris are an American surf rock band formed in Glendora, California, United States, in 1962. They are best known for two songs that hit the charts in the Los Angeles area, and nationally by May 1963: ""Surfer Joe"" and ""Wipe Out"", which were the A-side and B-side of the same 45 rpm single.
The Surfaris were inducted into the Musicians Hall of Fame and Museum in 2019 for their hit instrumental"
Survivor,"Survivor is the American version of the international Survivor reality competition television franchise, itself derived from the Swedish television series Expedition Robinson created by Charlie Parsons which premiered in 1997. The American series premiered on May 31, 2000, on CBS. It is hosted by television personality Jeff Probst, who is also an executive producer along with Mark Burnett and the "
SuzanneVega,"Suzanne Nadine Vega (born July 11, 1959) is an American singer-songwriter, musician and record producer, best known for her folk-inspired music.Vega's music career spans more than 30 years. She came to prominence in the mid 1980s, releasing four singles that entered the Top 40 charts in the UK during the 1980s and 1990s, including ""Marlene on the Wall"", ""Left of Center"", ""Luka"" and ""No Cheap Thril"
SuziQuatro,"Susan Kay Quatro (born June 3, 1950) is an American rock singer-songwriter, bass guitarist, and actress.
In the 1970s, Quatro scored a string of hit singles that found greater success in Europe and Australia than in her homeland. She reached no. 1 in the UK and other European countries and Australia with her singles ""Can the Can"" (1973) and ""Devil Gate Drive"" (1974). Following a recurring role as "
Sweet,"The following is a comprehensive discography of British rock band Sweet.


== Albums ==


=== Studio albums ===


=== Live albums ===


=== Compilation albums ===
Notes


== Singles ==
Notes


== References ==


=== General ===
Manly, Brian (2009). The Man Who Sang Blockbuster (1st ed.). Somehitwonders Publishing. ISBN 978-0-9562249-0-3. Retrieved 13 July 2009.


=== Specific ===


== External lin"
SwingingBlueJeans,"The Swinging Blue Jeans are a four-piece 1960s British Merseybeat band, best known for their hit singles with the HMV label; ""Hippy Hippy Shake"", ""Good Golly Miss Molly"", and ""You're No Good"", issued in 1964. Subsequent singles released that year and the next made no impression. In 1966, their version of Burt Bacharach and Hal David's ""Don't Make Me Over"" peaked at no. 31 in the UK Singles Chart, "
SwinginMedallions,"""Double Shot (Of My Baby's Love)"" is a song first recorded by Dick Holler & the Holidays, written by Don Smith and Cyril Vetter It was later recorded by the Swingin' Medallions who released it as their second single in 1966. The song became a hit for the group, peaking at #17 on the U.S. Billboard Hot 100. The song was banned on many radio stations due to the lines referring to drinking and sex, i"
Sylvers,"The Sylvers, (known as The Little Angels or The Four Little Angels in their early years), were an American R&B/Soul family vocal group from Watts, Los Angeles, California. The Sylvers were one of the most popular acts during the 1970s, recording the hit singles ""Fool's Paradise"", ""Boogie Fever"", and ""Hot Line"". Prior to becoming the  Sylvers, the four eldest members (Olympia, Leon, Charmaine, and "
Sylvester,"Sylvester Enzio Stallone (; born Michael Sylvester Gardenzio Stallone, July 6, 1946) is an American actor, director, screenwriter, producer and artist.After his beginnings as a struggling actor for a number of years upon arriving to New York City in 1969 and later Hollywood in 1974, he won his first critical acclaim as an actor for his co-starring role as Stanley Rosiello in The Lords of Flatbush."
TagTeam,"Tag Team is an American hip hop/pop rap duo from Atlanta, Georgia. Best known for their 1993 multiplatinum single, ""Whoomp! (There It Is)"", which has been featured in a number of advertisements, films, and TV shows, Tag Team now performs for audiences nostalgic about music from the 90s. The duo is made up of Cecil Glenn (DC the Brain Supreme) and Steve Gibson (Steve Rolln). The group performs regu"
TalkingHeads,"Talking Heads were an American rock band formed in 1975 in New York City and active until 1991. The band was composed of David Byrne (lead vocals, guitar), Chris Frantz (drums), Tina Weymouth (bass), and Jerry Harrison (keyboards, guitar). Described by the critic Stephen Thomas Erlewine as ""one of the most critically acclaimed bands of the '80s,"" the group helped to pioneer new wave music by integ"
TalkTalk,"Talking Heads were an American rock band formed in 1975 in New York City and active until 1991. The band was composed of David Byrne (lead vocals, guitar), Chris Frantz (drums), Tina Weymouth (bass), and Jerry Harrison (keyboards, guitar). Described by the critic Stephen Thomas Erlewine as ""one of the most critically acclaimed bands of the '80s,"" the group helped to pioneer new wave music by integ"
Tavares,"Maria ""Miza"" Tavares (née Maria do Rosario Castanheira de Carvalho) is a Portuguese artist and art teacher, born in Santiago do Cacem on 15 May 1965.
Tavares specialises in acrylics, and takes her inspiration from landscapes and seascapes, focusing more recently on the effects that climate change has on the natural world around us, in her collection, Elements. Her art merges abstract and semi abst"
TearsForFears,"Tears for Fears are an English pop rock band formed in Bath, England, in 1981 by Roland Orzabal and Curt Smith. Founded after the dissolution of their first band, the mod-influenced Graduate, Tears for Fears was initially associated with the new wave synthesizer bands of the early 1980s. Later, the band branched out into mainstream rock and pop and attained international chart success. Tears for F"
TedNugent,"Theodore Anthony Nugent (; born December 13, 1948) is an American singer-songwriter, guitarist, and conservative political activist. Nugent initially gained fame as the lead guitarist of The Amboy Dukes, a band formed in 1963 that played psychedelic rock and hard rock. After dissolving the Amboy Dukes, he embarked on a solo career. Nugent is known for his Gibson Byrdland, his bluesy and frenzied g"
Temptations,"The Temptations are an American vocal group who released a series of successful singles and albums with Motown Records during the 1960s and 1970s. The group's work with producer Norman Whitfield, beginning with the Top 10 hit single ""Cloud Nine"" in October 1968, pioneered psychedelic soul, and was significant in the evolution of R&B and soul music. The band members are known for their choreography"
TenYearsAfter,"Ten Years After are a British blues rock band, most popular in the late 1960s and early 1970s. Between 1968 and 1973, Ten Years After scored eight Top 40 albums on the UK Albums Chart. In addition they had twelve albums enter the US Billboard 200, and are best known for tracks such as ""I'm Going Home"", ""Hear Me Calling"", ""I'd Love to Change the World"" and ""Love Like a Man"". Their musical style con"
TerrenceTrentDArby,"Sananda Francesco Maitreya (born Terence Trent Howard, March 15, 1962), better known by his former stage name Terence Trent D'Arby, is an American singer and songwriter who came to fame with his debut studio album, Introducing the Hardline According to Terence Trent D'Arby (1987). The album included the singles ""If You Let Me Stay"", ""Sign Your Name"", ""Dance Little Sister"",  and ""Wishing Well""; ""Wi"
TerryJacks,"Terrence Ross Jacks (born March 29, 1944) is a Canadian singer, songwriter, record producer and environmentalist, best known for his 1974 hit song ""Seasons in the Sun"".


== Early life ==
Terry Jacks was born and raised in Winnipeg, Manitoba. His family relocated to Vancouver in the early 1960s. Jacks took up guitar in his teens and at 18 formed a band called The Chessmen with guitarist Guy Sobell"
TheBand,"The following is a list of artists and bands associated with the new wave music genre during the late 1970s and early-to-mid 1980s. The list does not include acts associated with the resurgences and revivals of the genre that have occurred from the 1990s onward. Acts associated with these revivals are found in the list of post-punk revival bands article.
Groups and artists with aliases are listed "
TheBangles,"The Bangles are an American pop rock band that formed in Los Angeles, California, in 1981. The band recorded several singles that reached the U.S. top 10 during the 1980s, including ""Manic Monday"" (1986), ""Walk Like an Egyptian"" (1986), ""Hazy Shade of Winter"" (1987), ""In Your Room"" (1989), and ""Eternal Flame"" (1989).The band's classic lineup consisted of founding members Susanna Hoffs (lead vocals"
TheByrds,"The Byrds  were an American rock band formed in Los Angeles, California in 1964.  The band underwent multiple lineup changes throughout its existence, with frontman Roger McGuinn (known as Jim McGuinn until mid-1967) remaining the sole consistent member.  Although they only managed to attain the huge commercial success of contemporaries like the Beatles, the Beach Boys, and the Rolling Stones for "
